# Time-sliced neural activity data
# Format:device_id,channel_id,slice0_activity,slice1_activity,slice2_activity,slice3_activity,slice4_activity,slice0_phase,slice1_phase,slice2_phase,slice3_phase,slice4_phase
4,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,5,0.2,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,6,0.2,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,8,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,9,0.8,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,10,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
5,1,0.0,0.1,0.4,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,2,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,3,0.0,0.1,0.4,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,5,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,6,0.0,0.1,0.3,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,8,0.0,0.1,0.3,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,10,0.0,0.1,0.4,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
5,11,0.0,0.1,0.4,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
6,1,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,2,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,3,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,5,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,6,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,8,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,10,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
6,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
7,1,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,2,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,3,0.1,0.7,0.3,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,5,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,6,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,8,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,10,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
7,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,0,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,1,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,2,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,3,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,5,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,6,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,8,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,10,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
8,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
9,1,0.0,0.0,0.0,0.1,1.4,-999.00,-999.00,-999.00,-999.00,-999.00
9,2,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,3,0.0,0.0,0.0,0.1,1.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,5,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,6,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,7,0.0,0.0,0.0,0.0,0.2,-999.00,-999.00,-999.00,-999.00,-999.00
9,8,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,10,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
9,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
